"Nom" "Nombre.totales.de.places" "y" "x" "numero" "NA"
"aiguelongue" 8 "43.626163" "3.882492" 39 "sans CB"
"albert1ercathedrale" 12 "43.614005" "3.873218" 55 "avec CB"
"antigonecentre" 16 "43.607942" "3.890634" 16 "avec CB"
"beauxarts" 28 "43.616698" "3.884981" 14 "sans CB"
"boutonnet" 12 "43.622629" "3.868375" 12 "avec CB"
"celleneuve" 8 "43.61467" "3.832624" 44 "sans CB"
"charlesflahault" 8 "43.618762" "3.865971" 30 "sans CB"
"citemion" 8 "43.601143" "3.884373" 24 "sans CB"
"clemenceau" 12 "43.603539" "3.872394" 22 "sans CB"
"comedie" 24 "43.608148" "3.878778" 2 "avec CB"
"corum" 12 "43.613989" "3.8816" 5 "avec CB"
"deuxpontsgaresaintroch" 8 "43.604319" "3.880916" 53 "sans CB"
"emilecombes" 8 "43.616742" "3.87998" 13 "sans CB"
"esplanade" 32 "43.609478" "3.881293" 3 "avec CB"
"euromedecine" 8 "43.639119" "3.828199" 41 "sans CB"
"facdelettres" 16 "43.630665" "3.87023" 38 "avec CB"
"facdessciences" 24 "43.631018" "3.860697" 37 "sans CB"
"foch" 8 "43.610989" "3.873345" 7 "sans CB"
"gambetta" 8 "43.607106" "3.870693" 20 "sans CB"
"garcialorca" 8 "43.590757" "3.890616" 33 "sans CB"
"hallescastellane" 12 "43.609935" "3.877208" 8 "sans CB"
"hoteldeville" 16 "43.599088" "3.894866" 4 "avec CB"
"hoteldudepartement" 8 "43.621682" "3.83477" 48 "sans CB"
"jardindelalironde" 8 "43.60585" "3.911576" 45 "sans CB"
"jeudemaildesabbes" 8 "43.619701" "3.883831" 40 "sans CB"
"lesarceaux" 16 "43.611991" "3.867157" 23 "avec CB"
"lesaubes" 8 "43.618692" "3.893844" 15 "sans CB"
"louisblanc" 16 "43.614642" "3.877648" 19 "avec CB"
"malbosc" 8 "43.633679" "3.832861" 35 "sans CB"
"mariecaizergues" 8 "43.619871" "3.873812" 42 "sans CB"
"mediathequeemilezola" 16 "43.608218" "3.89314" 17 "avec CB"
"montpelliersuddefrance" 8 "43.59562" "3.9235" 58 "sans CB"
"nombredor" 16 "43.607859" "3.886644" 18 "avec CB"
"nouveausaintroch" 8 "43.599817" "3.875757" 25 "sans CB"
"observatoire" 8 "43.606081" "3.876931" 9 "avec CB"
"occitanie" 32 "43.634242" "3.849128" 36 "avec CB"
"odysseum" 8 "43.603727" "3.918979" 27 "avec CB"
"parvisjulesferry" 8 "43.603889" "3.879362" 50 "avec CB"
"peresoulas" 8 "43.621983" "3.855603" 46 "sans CB"
"perols" 68 "43.558351" "3.963412" 57 "avec CB"
"placealbert1erstcharles" 27 "43.616768" "3.873375" 6 "avec CB"
"placeviala" 8 "43.616812" "3.855075" 47 "avec CB"
"plancabanes" 12 "43.608491" "3.868389" 11 "avec CB"
"pontdelattesgarestroch" 12 "43.606036" "3.882393" 51 "avec CB"
"portmarianne" 16 "43.60032" "3.89851" 21 "avec CB"
"presdarenes" 8 "43.59048" "3.884611" 32 "sans CB"
"providenceovalie" 8 "43.588239" "3.853421" 54 "sans CB"
"renouvier" 8 "43.603553" "3.867884" 26 "sans CB"
"richter" 16 "43.603424" "3.899263" 29 "avec CB"
"rondelet" 16 "43.603038" "3.875796" 10 "avec CB"
"ruejulesferry" 12 "43.605366" "3.881346" 1 "avec CB"
"sabines" 8 "43.584211" "3.860031" 43 "sans CB"
"saintdenis" 8 "43.605021" "3.875065" 28 "sans CB"
"saintguilhemcourreau" 8 "43.608996" "3.872752" 56 "sans CB"
"tonnelles" 8 "43.615155" "3.839466" 49 "sans CB"
"vertbois" 0 "43.63458" "3.86823" 34 "sans CB"
"voltaire" 8 "43.603767" "3.888659" 31 "sans CB"
